"CRTN_TM","FCST_TM","LEAD_TM","FCST_PROD_CD","FCST_QG01","FCST_QG02","FCST_QG03","FCST_QG04","FCST_QG05","FCST_QG06","FCST_QGEN","FCST_QGMX","FCST_QGMN","REG_DATE","UPD_DATE"
"202508010300","202508021600","03700","03",843.123186,,,,,,843.123186,843.123186,843.123186,2025-08-01 02:45:04.000,2025-08-01 02:45:04.000
"202508010300","202508021700","03800","03",902.928408,,,,,,902.928408,902.928408,902.928408,2025-08-01 02:45:04.000,2025-08-01 02:45:04.000
"202508010300","202508021800","03900","03",978.920044,,,,,,978.920044,978.920044,978.920044,2025-08-01 02:45:04.000,2025-08-01 02:45:04.000
"202508010300","202508021900","04000","03",979.866074,,,,,,979.866074,979.866074,979.866074,2025-08-01 02:45:04.000,2025-08-01 02:45:04.000
"202508010300","202508022000","04100","03",940.600076,,,,,,940.600076,940.600076,940.600076,2025-08-01 02:45:04.000,2025-08-01 02:45:04.000
"202508010300","202508022100","04200","03",868.141964,,,,,,868.141964,868.141964,868.141964,2025-08-01 02:45:04.000,2025-08-01 02:45:04.000
"202508010300","202508022200","04300","03",841.477008,,,,,,841.477008,841.477008,841.477008,2025-08-01 02:45:04.000,2025-08-01 02:45:04.000
"202508010300","202508022300","04400","03",767.751440,,,,,,767.751440,767.751440,767.751440,2025-08-01 02:45:04.000,2025-08-01 02:45:04.000
"202508010300","202508030000","04500","03",767.319182,,,,,,767.319182,767.319182,767.319182,2025-08-01 02:45:04.000,2025-08-01 02:45:04.000
"202508010300","202508030100","04600","03",629.740081,,,,,,629.740081,629.740081,629.740081,2025-08-01 02:45:04.000,2025-08-01 02:45:04.000
"202508010300","202508030200","04700","03",610.815209,,,,,,610.815209,610.815209,610.815209,2025-08-01 02:45:04.000,2025-08-01 02:45:04.000
"202508010300","202508030300","04800","03",659.711405,,,,,,659.711405,659.711405,659.711405,2025-08-01 02:45:04.000,2025-08-01 02:45:04.000
"202508010900","202508010900","00000","03",852.220672,,,,,,852.220672,852.220672,852.220672,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508011000","00100","03",873.783027,,,,,,873.783027,873.783027,873.783027,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508011100","00200","03",870.050152,,,,,,870.050152,870.050152,870.050152,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508011200","00300","03",833.932080,,,,,,833.932080,833.932080,833.932080,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508011300","00400","03",830.090189,,,,,,830.090189,830.090189,830.090189,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508011400","00500","03",855.831947,,,,,,855.831947,855.831947,855.831947,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508011500","00600","03",890.513224,,,,,,890.513224,890.513224,890.513224,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508011600","00700","03",907.288611,,,,,,907.288611,907.288611,907.288611,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508011700","00800","03",962.033394,,,,,,962.033394,962.033394,962.033394,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508011800","00900","03",947.516508,,,,,,947.516508,947.516508,947.516508,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508011900","01000","03",957.736153,,,,,,957.736153,957.736153,957.736153,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508012000","01100","03",950.594985,,,,,,950.594985,950.594985,950.594985,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508012100","01200","03",854.089120,,,,,,854.089120,854.089120,854.089120,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508012200","01300","03",799.721893,,,,,,799.721893,799.721893,799.721893,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508012300","01400","03",771.246391,,,,,,771.246391,771.246391,771.246391,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508020000","01500","03",712.452583,,,,,,712.452583,712.452583,712.452583,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508020100","01600","03",653.340570,,,,,,653.340570,653.340570,653.340570,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508020200","01700","03",634.838963,,,,,,634.838963,634.838963,634.838963,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508020300","01800","03",615.693962,,,,,,615.693962,615.693962,615.693962,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508020400","01900","03",630.830240,,,,,,630.830240,630.830240,630.830240,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508020500","02000","03",659.139839,,,,,,659.139839,659.139839,659.139839,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508020600","02100","03",668.233779,,,,,,668.233779,668.233779,668.233779,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508020700","02200","03",695.367490,,,,,,695.367490,695.367490,695.367490,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508020800","02300","03",754.140498,,,,,,754.140498,754.140498,754.140498,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508020900","02400","03",781.119745,,,,,,781.119745,781.119745,781.119745,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508021000","02500","03",781.606749,,,,,,781.606749,781.606749,781.606749,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508021100","02600","03",741.640515,,,,,,741.640515,741.640515,741.640515,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508021200","02700","03",743.884832,,,,,,743.884832,743.884832,743.884832,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508021300","02800","03",748.535153,,,,,,748.535153,748.535153,748.535153,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508021400","02900","03",762.053468,,,,,,762.053468,762.053468,762.053468,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508021500","03000","03",830.524609,,,,,,830.524609,830.524609,830.524609,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508021600","03100","03",847.173033,,,,,,847.173033,847.173033,847.173033,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508021700","03200","03",893.075595,,,,,,893.075595,893.075595,893.075595,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508021800","03300","03",921.100330,,,,,,921.100330,921.100330,921.100330,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508021900","03400","03",946.103799,,,,,,946.103799,946.103799,946.103799,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508022000","03500","03",942.072590,,,,,,942.072590,942.072590,942.072590,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508022100","03600","03",854.649897,,,,,,854.649897,854.649897,854.649897,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508022200","03700","03",792.310240,,,,,,792.310240,792.310240,792.310240,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508022300","03800","03",773.951464,,,,,,773.951464,773.951464,773.951464,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
