"PWR_EXC_TP_CD","FUEL_TP_CD","CRTN_TM","FCST_TM","LEAD_TM","FCST_PROD_CD","FCST_QG01","FCST_QG02","FCST_QG03","FCST_QG04","FCST_QG05","FCST_QG06","FCST_QGEN","FCST_QGMX","FCST_QGMN","FCST_CAPA","ESS_CHRG","ESS_DISC","ESS_CAPA","REG_DATE","UPD_DATE"
"09","16","202508010300","202508011600","01300","03",12.656613,14.054051,97.804292,,41.041134,,14.054051,97.804292,12.656613,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508011700","01400","03",166.957055,197.749908,214.086542,,166.893421,,166.957055,214.086542,166.893421,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508011700","01400","03",21.209593,26.368390,68.733369,,47.664928,,26.368390,68.733369,21.209593,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508011800","01500","03",90.230895,111.881573,124.154479,,107.395945,,90.230895,124.154479,90.230895,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508011800","01500","03",10.944862,0.000000,88.487041,,41.595575,,0.000000,88.487041,0.000000,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508011900","01600","03",29.382876,26.892764,42.930512,,49.526573,,29.382876,49.526573,26.892764,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508011900","01600","03",10.607652,0.000000,61.492309,,27.127587,,0.000000,61.492309,0.000000,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508012000","01700","03",11.421463,0.000000,2.392407,,5.715060,,11.421463,11.421463,0.000000,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508012000","01700","03",32.274675,12.686873,94.033842,,27.468262,,12.686873,94.033842,12.686873,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508012100","01800","03",9.627134,0.000000,0.132797,,0.000000,,9.627134,9.627134,0.000000,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508012100","01800","03",42.384252,18.188200,77.919867,,23.010886,,18.188200,77.919867,18.188200,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508012200","01900","03",11.914095,0.000000,0.160099,,0.000000,,11.914095,11.914095,0.000000,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508012200","01900","03",43.979078,28.227441,69.974593,,13.376897,,28.227441,69.974593,13.376897,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508012300","02000","03",10.239969,0.000000,0.188338,,0.000000,,10.239969,10.239969,0.000000,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508012300","02000","03",31.761165,16.412012,75.115163,,13.712538,,16.412012,75.115163,13.712538,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508020000","02100","03",0.137561,0.000000,0.153664,,0.000000,,0.137561,0.153664,0.000000,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508020000","02100","03",40.639227,13.195590,76.922134,,14.777104,,13.195590,76.922134,13.195590,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508020100","02200","03",8.957312,0.000000,0.153410,,0.000000,,8.957312,8.957312,0.000000,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508020100","02200","03",43.979078,10.692605,85.981583,,13.015615,,10.692605,85.981583,10.692605,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508020200","02300","03",9.218875,0.000000,0.132404,,0.000000,,9.218875,9.218875,0.000000,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508020200","02300","03",41.969268,46.485925,71.161763,,8.791953,,46.485925,71.161763,8.791953,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508020300","02400","03",11.433974,0.000000,0.127019,,0.000000,,11.433974,11.433974,0.000000,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508020300","02400","03",20.641296,16.086242,69.743828,,9.104375,,16.086242,69.743828,9.104375,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508020400","02500","03",11.433974,15.763572,0.103762,,0.000000,,11.433974,15.763572,0.000000,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508020400","02500","03",11.301620,12.793212,71.797354,,8.171763,,12.793212,71.797354,8.171763,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508020500","02600","03",0.000000,0.000000,0.133932,,0.000000,,0.000000,0.133932,0.000000,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508020500","02600","03",35.303748,11.097476,58.972973,,4.872453,,11.097476,58.972973,4.872453,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
